x,y,xhat,yhat,belief_id,uncertainty,branch,commanded_action,next_x,next_y,next_xhat,next_yhat,next_belief_id,probability
8,3,9,8,310,4086,skip_move,north,8,2,9,9,335,0.01
8,3,9,8,310,4086,skip_move,north,8,4,9,9,335,0.97
8,5,9,8,310,4086,update,,8,5,8,5,0,1.0
8,5,9,8,310,4086,skip_move,north,7,5,9,9,335,0.01
8,5,9,8,310,4086,skip_move,north,9,5,9,9,335,0.01
8,5,9,8,310,4086,skip_move,north,8,4,9,9,335,0.01
8,5,9,8,310,4086,skip_move,north,8,6,9,9,335,0.97
7,2,9,8,310,4086,update,,7,2,7,2,0,1.0
7,2,9,8,310,4086,skip_move,north,6,2,9,9,335,0.01
7,2,9,8,310,4086,skip_move,north,8,2,9,9,335,0.01
7,2,9,8,310,4086,skip_move,north,7,1,9,9,335,0.01
7,2,9,8,310,4086,skip_move,north,7,3,9,9,335,0.97
7,6,9,8,310,4086,update,,7,6,7,6,0,1.0
7,6,9,8,310,4086,skip_move,north,6,6,9,9,335,0.01
7,6,9,8,310,4086,skip_move,north,8,6,9,9,335,0.01
7,6,9,8,310,4086,skip_move,north,7,5,9,9,335,0.01
7,6,9,8,310,4086,skip_move,north,7,7,9,9,335,0.97
6,1,9,8,310,4086,update,,6,1,6,1,0,1.0
6,1,9,8,310,4086,skip_move,north,5,1,9,9,335,0.01
6,1,9,8,310,4086,skip_move,north,7,1,9,9,335,0.01
6,1,9,8,310,4086,skip_move,north,6,0,9,9,335,0.01
6,1,9,8,310,4086,skip_move,north,6,2,9,9,335,0.97
6,7,9,8,310,4086,update,,6,7,6,7,0,1.0
6,7,9,8,310,4086,skip_move,north,5,7,9,9,335,0.01
6,7,9,8,310,4086,skip_move,north,7,7,9,9,335,0.01
6,7,9,8,310,4086,skip_move,north,6,6,9,9,335,0.01
6,7,9,8,310,4086,skip_move,north,6,8,9,9,335,0.97
5,0,9,8,310,4086,update,,5,0,5,0,0,1.0
5,0,9,8,310,4086,skip_move,north,4,0,9,9,335,0.01
5,0,9,8,310,4086,skip_move,north,6,0,9,9,335,0.01
5,0,9,8,310,4086,skip_move,north,5,0,9,9,335,0.01
5,0,9,8,310,4086,skip_move,north,5,1,9,9,335,0.97
5,8,9,8,310,4086,update,,5,8,5,8,0,1.0
5,8,9,8,310,4086,skip_move,north,4,8,9,9,335,0.01
5,8,9,8,310,4086,skip_move,north,6,8,9,9,335,0.01
5,8,9,8,310,4086,skip_move,north,5,7,9,9,335,0.01
5,8,9,8,310,4086,skip_move,north,5,9,9,9,335,0.97
4,0,9,8,310,4086,update,,4,0,4,0,0,1.0
4,0,9,8,310,4086,skip_move,north,3,0,9,9,335,0.01
4,0,9,8,310,4086,skip_move,north,5,0,9,9,335,0.01
4,0,9,8,310,4086,skip_move,north,4,0,9,9,335,0.01
4,0,9,8,310,4086,skip_move,north,4,1,9,9,335,0.97
4,9,9,8,310,4086,update,,4,9,4,9,0,1.0
4,9,9,8,310,4086,skip_move,north,3,9,9,9,335,0.01
4,9,9,8,310,4086,skip_move,north,5,9,9,9,335,0.01
4,9,9,8,310,4086,skip_move,north,4,8,9,9,335,0.01
4,9,9,8,310,4086,skip_move,north,4,9,9,9,335,0.97
3,1,9,8,310,4086,update,,3,1,3,1,0,1.0
3,1,9,8,310,4086,skip_move,north,2,1,9,9,335,0.01
3,1,9,8,310,4086,skip_move,north,4,1,9,9,335,0.01
3,1,9,8,310,4086,skip_move,north,3,0,9,9,335,0.01
3,1,9,8,310,4086,skip_move,north,3,2,9,9,335,0.97
3,9,9,8,310,4086,update,,3,9,3,9,0,1.0
3,9,9,8,310,4086,skip_move,north,2,9,9,9,335,0.01
3,9,9,8,310,4086,skip_move,north,4,9,9,9,335,0.01
3,9,9,8,310,4086,skip_move,north,3,8,9,9,335,0.01
3,9,9,8,310,4086,skip_move,north,3,9,9,9,335,0.97
2,8,9,8,310,4086,update,,2,8,2,8,0,1.0
2,8,9,8,310,4086,skip_move,north,1,8,9,9,335,0.01
2,8,9,8,310,4086,skip_move,north,3,8,9,9,335,0.01
2,8,9,8,310,4086,skip_move,north,2,7,9,9,335,0.01
2,8,9,8,310,4086,skip_move,north,2,9,9,9,335,0.97
8,4,9,8,310,4086,update,,8,4,8,4,0,1.0
8,4,9,8,310,4086,skip_move,north,7,4,9,9,335,0.01
8,4,9,8,310,4086,skip_move,north,9,4,9,9,335,0.01
8,4,9,8,310,4086,skip_move,north,8,3,9,9,335,0.01
8,4,9,8,310,4086,skip_move,north,8,5,9,9,335,0.97
9,3,9,8,310,4086,update,,9,3,9,3,0,1.0
9,3,9,8,310,4086,skip_move,north,8,3,9,9,335,0.01
9,3,9,8,310,4086,skip_move,north,9,3,9,9,335,0.01
9,3,9,8,310,4086,skip_move,north,9,2,9,9,335,0.01
9,3,9,8,310,4086,skip_move,north,9,4,9,9,335,0.97
9,5,9,8,310,4086,update,,9,5,9,5,0,1.0
9,5,9,8,310,4086,skip_move,north,8,5,9,9,335,0.01
9,5,9,8,310,4086,skip_move,north,9,5,9,9,335,0.01
9,5,9,8,310,4086,skip_move,north,9,4,9,9,335,0.01
9,5,9,8,310,4086,skip_move,north,9,6,9,9,335,0.97
9,2,9,8,310,4086,update,,9,2,9,2,0,1.0
9,2,9,8,310,4086,skip_move,north,8,2,9,9,335,0.01
9,2,9,8,310,4086,skip_move,north,9,2,9,9,335,0.01
9,2,9,8,310,4086,skip_move,north,9,1,9,9,335,0.01
9,2,9,8,310,4086,skip_move,north,9,3,9,9,335,0.97
9,6,9,8,310,4086,update,,9,6,9,6,0,1.0
9,6,9,8,310,4086,skip_move,north,8,6,9,9,335,0.01
9,6,9,8,310,4086,skip_move,north,9,6,9,9,335,0.01
9,6,9,8,310,4086,skip_move,north,9,5,9,9,335,0.01
9,6,9,8,310,4086,skip_move,north,9,7,9,9,335,0.97
8,1,9,8,310,4086,update,,8,1,8,1,0,1.0
8,1,9,8,310,4086,skip_move,north,7,1,9,9,335,0.01
8,1,9,8,310,4086,skip_move,north,9,1,9,9,335,0.01
8,1,9,8,310,4086,skip_move,north,8,0,9,9,335,0.01
8,1,9,8,310,4086,skip_move,north,8,2,9,9,335,0.97
8,7,9,8,310,4086,update,,8,7,8,7,0,1.0
8,7,9,8,310,4086,skip_move,north,7,7,9,9,335,0.01
8,7,9,8,310,4086,skip_move,north,9,7,9,9,335,0.01
8,7,9,8,310,4086,skip_move,north,8,6,9,9,335,0.01
8,7,9,8,310,4086,skip_move,north,8,8,9,9,335,0.97
7,0,9,8,310,4086,update,,7,0,7,0,0,1.0
7,0,9,8,310,4086,skip_move,north,6,0,9,9,335,0.01
7,0,9,8,310,4086,skip_move,north,8,0,9,9,335,0.01
7,0,9,8,310,4086,skip_move,north,7,0,9,9,335,0.01
7,0,9,8,310,4086,skip_move,north,7,1,9,9,335,0.97
7,8,9,8,310,4086,update,,7,8,7,8,0,1.0
7,8,9,8,310,4086,skip_move,north,6,8,9,9,335,0.01
7,8,9,8,310,4086,skip_move,north,8,8,9,9,335,0.01
7,8,9,8,310,4086,skip_move,north,7,7,9,9,335,0.01
7,8,9,8,310,4086,skip_move,north,7,9,9,9,335,0.97
6,0,9,8,310,4086,update,,6,0,6,0,0,1.0
6,0,9,8,310,4086,skip_move,north,5,0,9,9,335,0.01
6,0,9,8,310,4086,skip_move,north,7,0,9,9,335,0.01
6,0,9,8,310,4086,skip_move,north,6,0,9,9,335,0.01
6,0,9,8,310,4086,skip_move,north,6,1,9,9,335,0.97
6,9,9,8,310,4086,update,,6,9,6,9,0,1.0
6,9,9,8,310,4086,skip_move,north,5,9,9,9,335,0.01
6,9,9,8,310,4086,skip_move,north,7,9,9,9,335,0.01
6,9,9,8,310,4086,skip_move,north,6,8,9,9,335,0.01
6,9,9,8,310,4086,skip_move,north,6,9,9,9,335,0.97
5,1,9,8,310,4086,update,,5,1,5,1,0,1.0
5,1,9,8,310,4086,skip_move,north,4,1,9,9,335,0.01
5,1,9,8,310,4086,skip_move,north,6,1,9,9,335,0.01
5,1,9,8,310,4086,skip_move,north,5,0,9,9,335,0.01
5,1,9,8,310,4086,skip_move,north,5,2,9,9,335,0.97
5,9,9,8,310,4086,update,,5,9,5,9,0,1.0
5,9,9,8,310,4086,skip_move,north,4,9,9,9,335,0.01
5,9,9,8,310,4086,skip_move,north,6,9,9,9,335,0.01
5,9,9,8,310,4086,skip_move,north,5,8,9,9,335,0.01
5,9,9,8,310,4086,skip_move,north,5,9,9,9,335,0.97
4,2,9,8,310,4086,update,,4,2,4,2,0,1.0
4,2,9,8,310,4086,skip_move,north,3,2,9,9,335,0.01
4,2,9,8,310,4086,skip_move,north,5,2,9,9,335,0.01
4,2,9,8,310,4086,skip_move,north,4,1,9,9,335,0.01
4,2,9,8,310,4086,skip_move,north,4,3,9,9,335,0.97
4,8,9,8,310,4086,update,,4,8,4,8,0,1.0
4,8,9,8,310,4086,skip_move,north,3,8,9,9,335,0.01
4,8,9,8,310,4086,skip_move,north,5,8,9,9,335,0.01
4,8,9,8,310,4086,skip_move,north,4,7,9,9,335,0.01
4,8,9,8,310,4086,skip_move,north,4,9,9,9,335,0.97
3,7,9,8,310,4086,update,,3,7,3,7,0,1.0
3,7,9,8,310,4086,skip_move,north,2,7,9,9,335,0.01
3,7,9,8,310,4086,skip_move,north,4,7,9,9,335,0.01
3,7,9,8,310,4086,skip_move,north,3,6,9,9,335,0.01
3,7,9,8,310,4086,skip_move,north,3,8,9,9,335,0.97
6,4,9,8,310,4086,update,,6,4,6,4,0,1.0
6,4,9,8,310,4086,skip_move,north,5,4,9,9,335,0.01
6,4,9,8,310,4086,skip_move,north,7,4,9,9,335,0.01
6,4,9,8,310,4086,skip_move,north,6,3,9,9,335,0.01
6,4,9,8,310,4086,skip_move,north,6,5,9,9,335,0.97
7,3,9,8,310,4086,update,,7,3,7,3,0,1.0
7,3,9,8,310,4086,skip_move,north,6,3,9,9,335,0.01
7,3,9,8,310,4086,skip_move,north,8,3,9,9,335,0.01
7,3,9,8,310,4086,skip_move,north,7,2,9,9,335,0.01
7,3,9,8,310,4086,skip_move,north,7,4,9,9,335,0.97
7,5,9,8,310,4086,update,,7,5,7,5,0,1.0
7,5,9,8,310,4086,skip_move,north,6,5,9,9,335,0.01
7,5,9,8,310,4086,skip_move,north,8,5,9,9,335,0.01
7,5,9,8,310,4086,skip_move,north,7,4,9,9,335,0.01
7,5,9,8,310,4086,skip_move,north,7,6,9,9,335,0.97
8,2,9,8,310,4086,update,,8,2,8,2,0,1.0
8,2,9,8,310,4086,skip_move,north,7,2,9,9,335,0.01
8,2,9,8,310,4086,skip_move,north,9,2,9,9,335,0.01
8,2,9,8,310,4086,skip_move,north,8,1,9,9,335,0.01
8,2,9,8,310,4086,skip_move,north,8,3,9,9,335,0.97
8,6,9,8,310,4086,update,,8,6,8,6,0,1.0
8,6,9,8,310,4086,skip_move,north,7,6,9,9,335,0.01
8,6,9,8,310,4086,skip_move,north,9,6,9,9,335,0.01
8,6,9,8,310,4086,skip_move,north,8,5,9,9,335,0.01
8,6,9,8,310,4086,skip_move,north,8,7,9,9,335,0.97
9,1,9,8,310,4086,update,,9,1,9,1,0,1.0
9,1,9,8,310,4086,skip_move,north,8,1,9,9,335,0.01
9,1,9,8,310,4086,skip_move,north,9,1,9,9,335,0.01
9,1,9,8,310,4086,skip_move,north,9,0,9,9,335,0.01
9,1,9,8,310,4086,skip_move,north,9,2,9,9,335,0.97
9,7,9,8,310,4086,update,,9,7,9,7,0,1.0
9,7,9,8,310,4086,skip_move,north,8,7,9,9,335,0.01
9,7,9,8,310,4086,skip_move,north,9,7,9,9,335,0.01
9,7,9,8,310,4086,skip_move,north,9,6,9,9,335,0.01
9,7,9,8,310,4086,skip_move,north,9,8,9,9,335,0.97
9,0,9,8,310,4086,update,,9,0,9,0,0,1.0
9,0,9,8,310,4086,skip_move,north,8,0,9,9,335,0.01
9,0,9,8,310,4086,skip_move,north,9,0,9,9,335,0.02
9,0,9,8,310,4086,skip_move,north,9,1,9,9,335,0.97
9,8,9,8,310,4086,update,,9,8,9,8,0,1.0
9,8,9,8,310,4086,skip_move,north,8,8,9,9,335,0.01
9,8,9,8,310,4086,skip_move,north,9,8,9,9,335,0.01
9,8,9,8,310,4086,skip_move,north,9,7,9,9,335,0.01
9,8,9,8,310,4086,skip_move,north,9,9,9,9,335,0.97
8,0,9,8,310,4086,update,,8,0,8,0,0,1.0
8,0,9,8,310,4086,skip_move,north,7,0,9,9,335,0.01
8,0,9,8,310,4086,skip_move,north,9,0,9,9,335,0.01
8,0,9,8,310,4086,skip_move,north,8,0,9,9,335,0.01
8,0,9,8,310,4086,skip_move,north,8,1,9,9,335,0.97
8,9,9,8,310,4086,update,,8,9,8,9,0,1.0
8,9,9,8,310,4086,skip_move,north,7,9,9,9,335,0.01
8,9,9,8,310,4086,skip_move,north,9,9,9,9,335,0.01
8,9,9,8,310,4086,skip_move,north,8,8,9,9,335,0.01
8,9,9,8,310,4086,skip_move,north,8,9,9,9,335,0.97
7,1,9,8,310,4086,update,,7,1,7,1,0,1.0
7,1,9,8,310,4086,skip_move,north,6,1,9,9,335,0.01
7,1,9,8,310,4086,skip_move,north,8,1,9,9,335,0.01
7,1,9,8,310,4086,skip_move,north,7,0,9,9,335,0.01
7,1,9,8,310,4086,skip_move,north,7,2,9,9,335,0.97
7,9,9,8,310,4086,update,,7,9,7,9,0,1.0
7,9,9,8,310,4086,skip_move,north,6,9,9,9,335,0.01
7,9,9,8,310,4086,skip_move,north,8,9,9,9,335,0.01
7,9,9,8,310,4086,skip_move,north,7,8,9,9,335,0.01
7,9,9,8,310,4086,skip_move,north,7,9,9,9,335,0.97
6,2,9,8,310,4086,update,,6,2,6,2,0,1.0
6,2,9,8,310,4086,skip_move,north,5,2,9,9,335,0.01
6,2,9,8,310,4086,skip_move,north,7,2,9,9,335,0.01
6,2,9,8,310,4086,skip_move,north,6,1,9,9,335,0.01
6,2,9,8,310,4086,skip_move,north,6,3,9,9,335,0.97
6,8,9,8,310,4086,update,,6,8,6,8,0,1.0
6,8,9,8,310,4086,skip_move,north,5,8,9,9,335,0.01
6,8,9,8,310,4086,skip_move,north,7,8,9,9,335,0.01
6,8,9,8,310,4086,skip_move,north,6,7,9,9,335,0.01
6,8,9,8,310,4086,skip_move,north,6,9,9,9,335,0.97
5,3,9,8,310,4086,update,,5,3,5,3,0,1.0
5,3,9,8,310,4086,skip_move,north,4,3,9,9,335,0.01
5,3,9,8,310,4086,skip_move,north,6,3,9,9,335,0.01
5,3,9,8,310,4086,skip_move,north,5,2,9,9,335,0.01
5,3,9,8,310,4086,skip_move,north,5,4,9,9,335,0.97
5,7,9,8,310,4086,update,,5,7,5,7,0,1.0
5,7,9,8,310,4086,skip_move,north,4,7,9,9,335,0.01
5,7,9,8,310,4086,skip_move,north,6,7,9,9,335,0.01
5,7,9,8,310,4086,skip_move,north,5,6,9,9,335,0.01
5,7,9,8,310,4086,skip_move,north,5,8,9,9,335,0.97
4,6,9,8,310,4086,update,,4,6,4,6,0,1.0
4,6,9,8,310,4086,skip_move,north,3,6,9,9,335,0.01
4,6,9,8,310,4086,skip_move,north,5,6,9,9,335,0.01
4,6,9,8,310,4086,skip_move,north,4,5,9,9,335,0.01
4,6,9,8,310,4086,skip_move,north,4,7,9,9,335,0.97
0,5,9,6,311,3743,update,,0,5,0,5,0,1.0
0,5,9,6,311,3743,skip_move,north,0,5,9,7,336,0.01
0,5,9,6,311,3743,skip_move,north,1,5,9,7,336,0.01
0,5,9,6,311,3743,skip_move,north,0,4,9,7,336,0.01
0,5,9,6,311,3743,skip_move,north,0,6,9,7,336,0.97
1,5,9,6,311,3743,update,,1,5,1,5,0,1.0
1,5,9,6,311,3743,skip_move,north,0,5,9,7,336,0.01
1,5,9,6,311,3743,skip_move,north,2,5,9,7,336,0.01
1,5,9,6,311,3743,skip_move,north,1,4,9,7,336,0.01
1,5,9,6,311,3743,skip_move,north,1,6,9,7,336,0.97
0,4,9,6,311,3743,update,,0,4,0,4,0,1.0
0,4,9,6,311,3743,skip_move,north,0,4,9,7,336,0.01
0,4,9,6,311,3743,skip_move,north,1,4,9,7,336,0.01
0,4,9,6,311,3743,skip_move,north,0,3,9,7,336,0.01
0,4,9,6,311,3743,skip_move,north,0,5,9,7,336,0.97
0,6,9,6,311,3743,update,,0,6,0,6,0,1.0
0,6,9,6,311,3743,skip_move,north,0,6,9,7,336,0.01
0,6,9,6,311,3743,skip_move,north,1,6,9,7,336,0.01
0,6,9,6,311,3743,skip_move,north,0,5,9,7,336,0.01
0,6,9,6,311,3743,skip_move,north,0,7,9,7,336,0.97
2,5,9,6,311,3743,update,,2,5,2,5,0,1.0
2,5,9,6,311,3743,skip_move,north,1,5,9,7,336,0.01
2,5,9,6,311,3743,skip_move,north,3,5,9,7,336,0.01
2,5,9,6,311,3743,skip_move,north,2,4,9,7,336,0.01
2,5,9,6,311,3743,skip_move,north,2,6,9,7,336,0.97
1,4,9,6,311,3743,update,,1,4,1,4,0,1.0
1,4,9,6,311,3743,skip_move,north,0,4,9,7,336,0.01
1,4,9,6,311,3743,skip_move,north,2,4,9,7,336,0.01
1,4,9,6,311,3743,skip_move,north,1,3,9,7,336,0.01
1,4,9,6,311,3743,skip_move,north,1,5,9,7,336,0.97
1,6,9,6,311,3743,update,,1,6,1,6,0,1.0
1,6,9,6,311,3743,skip_move,north,0,6,9,7,336,0.01
1,6,9,6,311,3743,skip_move,north,2,6,9,7,336,0.01
1,6,9,6,311,3743,skip_move,north,1,5,9,7,336,0.01
1,6,9,6,311,3743,skip_move,north,1,7,9,7,336,0.97
0,3,9,6,311,3743,update,,0,3,0,3,0,1.0
0,3,9,6,311,3743,skip_move,north,0,3,9,7,336,0.01
0,3,9,6,311,3743,skip_move,north,1,3,9,7,336,0.01
0,3,9,6,311,3743,skip_move,north,0,2,9,7,336,0.01
0,3,9,6,311,3743,skip_move,north,0,4,9,7,336,0.97
0,7,9,6,311,3743,update,,0,7,0,7,0,1.0
0,7,9,6,311,3743,skip_move,north,0,7,9,7,336,0.01
0,7,9,6,311,3743,skip_move,north,1,7,9,7,336,0.01
0,7,9,6,311,3743,skip_move,north,0,6,9,7,336,0.01
0,7,9,6,311,3743,skip_move,north,0,8,9,7,336,0.97
3,5,9,6,311,3743,update,,3,5,3,5,0,1.0
3,5,9,6,311,3743,skip_move,north,2,5,9,7,336,0.01
3,5,9,6,311,3743,skip_move,north,4,5,9,7,336,0.01
3,5,9,6,311,3743,skip_move,north,3,4,9,7,336,0.01
3,5,9,6,311,3743,skip_move,north,3,6,9,7,336,0.97
2,4,9,6,311,3743,update,,2,4,2,4,0,1.0
2,4,9,6,311,3743,skip_move,north,1,4,9,7,336,0.01
2,4,9,6,311,3743,skip_move,north,3,4,9,7,336,0.01
2,4,9,6,311,3743,skip_move,north,2,3,9,7,336,0.01
2,4,9,6,311,3743,skip_move,north,2,5,9,7,336,0.97
2,6,9,6,311,3743,update,,2,6,2,6,0,1.0
2,6,9,6,311,3743,skip_move,north,1,6,9,7,336,0.01
2,6,9,6,311,3743,skip_move,north,3,6,9,7,336,0.01
2,6,9,6,311,3743,skip_move,north,2,5,9,7,336,0.01
2,6,9,6,311,3743,skip_move,north,2,7,9,7,336,0.97
1,3,9,6,311,3743,update,,1,3,1,3,0,1.0
1,3,9,6,311,3743,skip_move,north,0,3,9,7,336,0.01
1,3,9,6,311,3743,skip_move,north,2,3,9,7,336,0.01
1,3,9,6,311,3743,skip_move,north,1,2,9,7,336,0.01
1,3,9,6,311,3743,skip_move,north,1,4,9,7,336,0.97
1,7,9,6,311,3743,update,,1,7,1,7,0,1.0
1,7,9,6,311,3743,skip_move,north,0,7,9,7,336,0.01
1,7,9,6,311,3743,skip_move,north,2,7,9,7,336,0.01
1,7,9,6,311,3743,skip_move,north,1,6,9,7,336,0.01
1,7,9,6,311,3743,skip_move,north,1,8,9,7,336,0.97
0,2,9,6,311,3743,update,,0,2,0,2,0,1.0
0,2,9,6,311,3743,skip_move,north,0,2,9,7,336,0.01
0,2,9,6,311,3743,skip_move,north,1,2,9,7,336,0.01
0,2,9,6,311,3743,skip_move,north,0,1,9,7,336,0.01
0,2,9,6,311,3743,skip_move,north,0,3,9,7,336,0.97
0,8,9,6,311,3743,update,,0,8,0,8,0,1.0
0,8,9,6,311,3743,skip_move,north,0,8,9,7,336,0.01
0,8,9,6,311,3743,skip_move,north,1,8,9,7,336,0.01
0,8,9,6,311,3743,skip_move,north,0,7,9,7,336,0.01
0,8,9,6,311,3743,skip_move,north,0,9,9,7,336,0.97
4,5,9,6,311,3743,update,,4,5,4,5,0,1.0
4,5,9,6,311,3743,skip_move,north,3,5,9,7,336,0.01
4,5,9,6,311,3743,skip_move,north,5,5,9,7,336,0.01
4,5,9,6,311,3743,skip_move,north,4,4,9,7,336,0.01
4,5,9,6,311,3743,skip_move,north,4,6,9,7,336,0.97
3,4,9,6,311,3743,update,,3,4,3,4,0,1.0
3,4,9,6,311,3743,skip_move,north,2,4,9,7,336,0.01
3,4,9,6,311,3743,skip_move,north,4,4,9,7,336,0.01
3,4,9,6,311,3743,skip_move,north,3,3,9,7,336,0.01
3,4,9,6,311,3743,skip_move,north,3,5,9,7,336,0.97
3,6,9,6,311,3743,update,,3,6,3,6,0,1.0
3,6,9,6,311,3743,skip_move,north,2,6,9,7,336,0.01
3,6,9,6,311,3743,skip_move,north,4,6,9,7,336,0.01
3,6,9,6,311,3743,skip_move,north,3,5,9,7,336,0.01
3,6,9,6,311,3743,skip_move,north,3,7,9,7,336,0.97
2,3,9,6,311,3743,update,,2,3,2,3,0,1.0
2,3,9,6,311,3743,skip_move,north,1,3,9,7,336,0.01
2,3,9,6,311,3743,skip_move,north,3,3,9,7,336,0.01
2,3,9,6,311,3743,skip_move,north,2,2,9,7,336,0.01
2,3,9,6,311,3743,skip_move,north,2,4,9,7,336,0.97
2,7,9,6,311,3743,update,,2,7,2,7,0,1.0
2,7,9,6,311,3743,skip_move,north,1,7,9,7,336,0.01
2,7,9,6,311,3743,skip_move,north,3,7,9,7,336,0.01
2,7,9,6,311,3743,skip_move,north,2,6,9,7,336,0.01
2,7,9,6,311,3743,skip_move,north,2,8,9,7,336,0.97
1,2,9,6,311,3743,update,,1,2,1,2,0,1.0
1,2,9,6,311,3743,skip_move,north,0,2,9,7,336,0.01
1,2,9,6,311,3743,skip_move,north,2,2,9,7,336,0.01
1,2,9,6,311,3743,skip_move,north,1,1,9,7,336,0.01
1,2,9,6,311,3743,skip_move,north,1,3,9,7,336,0.97
1,8,9,6,311,3743,update,,1,8,1,8,0,1.0
1,8,9,6,311,3743,skip_move,north,0,8,9,7,336,0.01
1,8,9,6,311,3743,skip_move,north,2,8,9,7,336,0.01
1,8,9,6,311,3743,skip_move,north,1,7,9,7,336,0.01
1,8,9,6,311,3743,skip_move,north,1,9,9,7,336,0.97
0,1,9,6,311,3743,update,,0,1,0,1,0,1.0
0,1,9,6,311,3743,skip_move,north,0,1,9,7,336,0.01
0,1,9,6,311,3743,skip_move,north,1,1,9,7,336,0.01
0,1,9,6,311,3743,skip_move,north,0,0,9,7,336,0.01
0,1,9,6,311,3743,skip_move,north,0,2,9,7,336,0.97
0,9,9,6,311,3743,update,,0,9,0,9,0,1.0
0,9,9,6,311,3743,skip_move,north,0,9,9,7,336,0.98
0,9,9,6,311,3743,skip_move,north,1,9,9,7,336,0.01
0,9,9,6,311,3743,skip_move,north,0,8,9,7,336,0.01
6,5,9,6,311,3743,update,,6,5,6,5,0,1.0
6,5,9,6,311,3743,skip_move,north,5,5,9,7,336,0.01
6,5,9,6,311,3743,skip_move,north,7,5,9,7,336,0.01
6,5,9,6,311,3743,skip_move,north,6,4,9,7,336,0.01
6,5,9,6,311,3743,skip_move,north,6,6,9,7,336,0.97
5,4,9,6,311,3743,update,,5,4,5,4,0,1.0
5,4,9,6,311,3743,skip_move,north,4,4,9,7,336,0.01
5,4,9,6,311,3743,skip_move,north,6,4,9,7,336,0.01
5,4,9,6,311,3743,skip_move,north,5,3,9,7,336,0.01
5,4,9,6,311,3743,skip_move,north,5,5,9,7,336,0.97
5,6,9,6,311,3743,update,,5,6,5,6,0,1.0
5,6,9,6,311,3743,skip_move,north,4,6,9,7,336,0.01
5,6,9,6,311,3743,skip_move,north,6,6,9,7,336,0.01
5,6,9,6,311,3743,skip_move,north,5,5,9,7,336,0.01
5,6,9,6,311,3743,skip_move,north,5,7,9,7,336,0.97
4,3,9,6,311,3743,update,,4,3,4,3,0,1.0
4,3,9,6,311,3743,skip_move,north,3,3,9,7,336,0.01
4,3,9,6,311,3743,skip_move,north,5,3,9,7,336,0.01
4,3,9,6,311,3743,skip_move,north,4,2,9,7,336,0.01
4,3,9,6,311,3743,skip_move,north,4,4,9,7,336,0.97
4,7,9,6,311,3743,update,,4,7,4,7,0,1.0
4,7,9,6,311,3743,skip_move,north,3,7,9,7,336,0.01
4,7,9,6,311,3743,skip_move,north,5,7,9,7,336,0.01
4,7,9,6,311,3743,skip_move,north,4,6,9,7,336,0.01
4,7,9,6,311,3743,skip_move,north,4,8,9,7,336,0.97
3,2,9,6,311,3743,update,,3,2,3,2,0,1.0
3,2,9,6,311,3743,skip_move,north,2,2,9,7,336,0.01
3,2,9,6,311,3743,skip_move,north,4,2,9,7,336,0.01
3,2,9,6,311,3743,skip_move,north,3,1,9,7,336,0.01
3,2,9,6,311,3743,skip_move,north,3,3,9,7,336,0.97
3,8,9,6,311,3743,update,,3,8,3,8,0,1.0
3,8,9,6,311,3743,skip_move,north,2,8,9,7,336,0.01
3,8,9,6,311,3743,skip_move,north,4,8,9,7,336,0.01
3,8,9,6,311,3743,skip_move,north,3,7,9,7,336,0.01
3,8,9,6,311,3743,skip_move,north,3,9,9,7,336,0.97
2,1,9,6,311,3743,update,,2,1,2,1,0,1.0
2,1,9,6,311,3743,skip_move,north,1,1,9,7,336,0.01
2,1,9,6,311,3743,skip_move,north,3,1,9,7,336,0.01
2,1,9,6,311,3743,skip_move,north,2,0,9,7,336,0.01
2,1,9,6,311,3743,skip_move,north,2,2,9,7,336,0.97
2,9,9,6,311,3743,update,,2,9,2,9,0,1.0
2,9,9,6,311,3743,skip_move,north,1,9,9,7,336,0.01
2,9,9,6,311,3743,skip_move,north,3,9,9,7,336,0.01
2,9,9,6,311,3743,skip_move,north,2,8,9,7,336,0.01
2,9,9,6,311,3743,skip_move,north,2,9,9,7,336,0.97
1,0,9,6,311,3743,update,,1,0,1,0,0,1.0
1,0,9,6,311,3743,skip_move,north,0,0,9,7,336,0.01
1,0,9,6,311,3743,skip_move,north,2,0,9,7,336,0.01
1,0,9,6,311,3743,skip_move,north,1,0,9,7,336,0.01
1,0,9,6,311,3743,skip_move,north,1,1,9,7,336,0.97
1,9,9,6,311,3743,update,,1,9,1,9,0,1.0
1,9,9,6,311,3743,skip_move,north,0,9,9,7,336,0.01
1,9,9,6,311,3743,skip_move,north,2,9,9,7,336,0.01
1,9,9,6,311,3743,skip_move,north,1,8,9,7,336,0.01
1,9,9,6,311,3743,skip_move,north,1,9,9,7,336,0.97
8,5,9,6,311,3743,update,,8,5,8,5,0,1.0
8,5,9,6,311,3743,skip_move,north,7,5,9,7,336,0.01
8,5,9,6,311,3743,skip_move,north,9,5,9,7,336,0.01
8,5,9,6,311,3743,skip_move,north,8,4,9,7,336,0.01
8,5,9,6,311,3743,skip_move,north,8,6,9,7,336,0.97
7,4,9,6,311,3743,update,,7,4,7,4,0,1.0
7,4,9,6,311,3743,skip_move,north,6,4,9,7,336,0.01
7,4,9,6,311,3743,skip_move,north,8,4,9,7,336,0.01
7,4,9,6,311,3743,skip_move,north,7,3,9,7,336,0.01
